Unnamed: 0,author_id,created_at,edit_history_tweet_ids,tweetid,message,retweet_count,reply_count,like_count,quote_count,profile_urls,user_username,user_name,user_ids,my_label,sentiment,trained_on,df_index,hashtag
0,1211621401213276167,2022-12-22 23:59:28+00:00,[1606076989877587969],1606076989877587969,RT @Figuchan: Der Kalender neigt sich schon dem Ende entgegen: https://t.co/LzITBfuJjR Heute könnt ihr hier ein gigantisches Sailor Moon Pa…,132,0,0,0,https://pbs.twimg.com/profile_images/1534833433716961280/2J0kBzoT_normal.jpg,PlantEumel,🌿Luisa🌿,1211621401213276167,0.0,,0.0,0,[]
1,796361331045793792,2022-12-22 23:58:29+00:00,[1606076742795288576],1606076742795288576,RT @Figuchan: Der Kalender neigt sich schon dem Ende entgegen: https://t.co/LzITBfuJjR Heute könnt ihr hier ein gigantisches Sailor Moon Pa…,132,0,0,0,https://pbs.twimg.com/profile_images/1549719289648791552/rO4_N6YF_normal.jpg,LapisandLazuli,Lazu,796361331045793792,1.0,,0.0,1,[]
2,1427364879145611265,2022-12-22 23:55:33+00:00,[1606076003863781376],1606076003863781376,"RT @HRler_Kram: Dieses Grün 😍

@mrsgreeeen hat ins heutige Türchen vom #hand2hand2022 Kalender ein wirklich krasses und spannendes Kunstwer…",7,0,0,0,https://pbs.twimg.com/profile_images/1492787189226381321/cwsSSwYs_normal.jpg,diekatze_miau,DieKatzeMiaut,1427364879145611265,-1.0,,0.0,2,['hand2hand2022']
3,821086593675104256,2022-12-22 23:54:51+00:00,[1606075827690561536],1606075827690561536,RT @Figuchan: Der Kalender neigt sich schon dem Ende entgegen: https://t.co/LzITBfuJjR Heute könnt ihr hier ein gigantisches Sailor Moon Pa…,132,0,0,0,https://pbs.twimg.com/profile_images/1447092004140294146/A2Ezj3Bd_normal.jpg,yumikaichiro,Kaguya,821086593675104256,,,0.0,3,[]
4,1560349734,2022-12-22 23:52:56+00:00,[1606075346922921989],1606075346922921989,iPhone App:Stundenplan des Leben: Schließen =&gt; https://t.co/PmzAv51mXV  #Tagebuch  #Zeitplan #Aufzeichnen #Ziel #Leben #Kalender #Alter,0,0,0,0,https://pbs.twimg.com/profile_images/378800000072528701/12363836ca685aad2a6c74c29ab00022_normal.png,AIHaruka_,Ai Haruka,1560349734,,,0.0,4,"['Tagebuch', 'Zeitplan', 'Aufzeichnen', 'Ziel', 'Leben', 'Kalender', 'Alter']"
5,3818178369,2022-12-22 23:52:55+00:00,[1606075339616047104],1606075339616047104,RT @Figuchan: Der Kalender neigt sich schon dem Ende entgegen: https://t.co/LzITBfuJjR Heute könnt ihr hier ein gigantisches Sailor Moon Pa…,132,0,0,0,https://pbs.twimg.com/profile_images/1119348373482557440/FSSZ6nc8_normal.jpg,Sakuyachan86,Sakura-chan,3818178369,,,0.0,5,[]
6,4728583463,2022-12-22 23:40:47+00:00,[1606072287114952706],1606072287114952706,RT @Figuchan: Der Kalender neigt sich schon dem Ende entgegen: https://t.co/LzITBfuJjR Heute könnt ihr hier ein gigantisches Sailor Moon Pa…,132,0,0,0,https://pbs.twimg.com/profile_images/1276213647954579457/Is2q009H_normal.jpg,lovemails33,Nathalie Kuma :3,4728583463,,,0.0,6,[]
7,968593600194936833,2022-12-22 23:40:35+00:00,[1606072238779912193],1606072238779912193,RT @Figuchan: Der Kalender neigt sich schon dem Ende entgegen: https://t.co/LzITBfuJjR Heute könnt ihr hier ein gigantisches Sailor Moon Pa…,132,0,0,0,https://pbs.twimg.com/profile_images/1143120333156888576/WtiIWaoL_normal.jpg,Pandakai1808,Kai,968593600194936833,,,0.0,7,[]
8,1543825411,2022-12-22 23:39:55+00:00,[1606072068549873664],1606072068549873664,"RT @nadine7281: Schöne Briefkastenmomente sollte man teilen.

Liebsten Dank @wortagent
für diesen- wie immer- wunderschönen Kalender ♡ http…",1,0,0,0,https://pbs.twimg.com/profile_images/378800000581192533/ac7b4e0b9ca7749390b84a773927c690_normal.jpeg,wortagent,Wortagent,1543825411,,,0.0,8,[]
9,2491766011,2022-12-22 23:38:27+00:00,[1606071698993729536],1606071698993729536,RT @Figuchan: Der Kalender neigt sich schon dem Ende entgegen: https://t.co/LzITBfuJjR Heute könnt ihr hier ein gigantisches Sailor Moon Pa…,132,0,0,0,https://pbs.twimg.com/profile_images/1186344846761644033/Xrr4Aa9S_normal.jpg,KingEarthnut,KingEarthnut,2491766011,,,0.0,9,[]
10,706517017747197953,2022-12-22 23:37:36+00:00,[1606071486892199936],1606071486892199936,RT @Figuchan: Der Kalender neigt sich schon dem Ende entgegen: https://t.co/LzITBfuJjR Heute könnt ihr hier ein gigantisches Sailor Moon Pa…,132,0,0,0,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,andyschwartz84,Andy Schwartz,706517017747197953,,,0.0,10,[]
11,1418444491107733507,2022-12-22 23:36:57+00:00,[1606071324421640193],1606071324421640193,RT @Figuchan: Der Kalender neigt sich schon dem Ende entgegen: https://t.co/LzITBfuJjR Heute könnt ihr hier ein gigantisches Sailor Moon Pa…,132,0,0,0,https://pbs.twimg.com/profile_images/1596432601190993922/wYtuDuU5_normal.jpg,Ichikadey,ichi,1418444491107733507,,,0.0,11,[]
12,2502614640,2022-12-22 23:33:18+00:00,[1606070403964600320],1606070403964600320,"RT @HRler_Kram: Dieses Grün 😍

@mrsgreeeen hat ins heutige Türchen vom #hand2hand2022 Kalender ein wirklich krasses und spannendes Kunstwer…",7,0,0,0,https://pbs.twimg.com/profile_images/1491161006269153282/_fBRnw0M_normal.jpg,lilaEmma5,@MarW@troet.cafe,2502614640,,,0.0,12,['hand2hand2022']
13,104472412,2022-12-22 23:32:36+00:00,[1606070229381140480],1606070229381140480,RT @Figuchan: Der Kalender neigt sich schon dem Ende entgegen: https://t.co/LzITBfuJjR Heute könnt ihr hier ein gigantisches Sailor Moon Pa…,132,0,0,0,https://pbs.twimg.com/profile_images/1604841981364117507/8PvOxjPm_normal.jpg,Jennybean_K,🌸Jennybean🌸,104472412,,,0.0,13,[]
